Date,Air Temp. Min. (°C),Air Temp. Max. (°C),Air Temp. Avg. (°C),Precip. (mm)
01-Dec-17,-18.9,-4.7,-10.6,0
02-Dec-17,-25.1,-15.2,-21.2,0
03-Dec-17,-28,-17,-21.1,0
04-Dec-17,-31.4,-16.1,-22.3,0.5
05-Dec-17,-18.2,2.9,-2.3,4.6
06-Dec-17,-13.4,-0.5,-6.5,0
07-Dec-17,-9.6,9.5,0.5,0
08-Dec-17,-13.9,-4.2,-8.7,0
09-Dec-17,-7.4,6.8,1.4,0
10-Dec-17,-4.9,6.3,1.8,9.7
11-Dec-17,-6.9,5.5,-2.7,0
12-Dec-17,-10,6.2,-2.6,0
13-Dec-17,-10.3,6.8,-0.6,0
14-Dec-17,-12,-4.3,-7.6,0
15-Dec-17,-4.3,4.6,0.7,4
16-Dec-17,-12.5,-3.5,-8.1,0
17-Dec-17,-12.6,1.6,-3,2.1
18-Dec-17,-17,-2.7,-12,0.2
19-Dec-17,-28.6,-16.8,-23.3,0.2
20-Dec-17,-28.3,-15.8,-22.6,0.4
21-Dec-17,-15.9,-4.7,-8.3,0.2
22-Dec-17,-11,-4.4,-7.1,0
23-Dec-17,-14.7,-4.3,-10.4,1.2
24-Dec-17,-27.5,-14.5,-24.1,0.2
25-Dec-17,-37.8,-27.5,-32.3,0.4
26-Dec-17,-39.4,-29.7,-35.7,0
27-Dec-17,-33.1,-20.7,-25.3,0
28-Dec-17,-35.2,-25.1,-31.1,0.2
29-Dec-17,-41.6,-34.3,-38.2,0.2
30-Dec-17,-41.6,-29.1,-37.8,0
31-Dec-17,-40.9,-29.4,-36.7,0
01-Jan-18,-39.4,-21.8,-32.1,0
02-Jan-18,-24.1,-18.3,-21,0
03-Jan-18,-24.3,-16.8,-19.9,0
04-Jan-18,-18.6,-13.3,-16.3,0
05-Jan-18,-14.3,-9.4,-11.6,0
06-Jan-18,-11.5,-4.4,-8.8,0.2
07-Jan-18,-14,-6.1,-10,0
08-Jan-18,-22.8,-10.6,-17.9,2.2
09-Jan-18,-26.4,-22.5,-24.4,1.4
10-Jan-18,-37.6,-24.3,-30.3,0.4
11-Jan-18,-42.1,-29.4,-37.2,0.2
12-Jan-18,-43,-29,-37.4,0.2
13-Jan-18,-35,-19.2,-25.4,0
14-Jan-18,-27.1,-18,-21.9,0
15-Jan-18,-18.9,-11.1,-15.2,0
16-Jan-18,-19.6,-8,-14.8,0
17-Jan-18,-16.2,-1,-8.9,0
18-Jan-18,-13.1,-2.1,-4.7,2.3
19-Jan-18,-8.7,-2,-6.9,0.9
20-Jan-18,-9.9,-7.2,-8.5,0.4
21-Jan-18,-14.4,-9.9,-12.3,0.2
22-Jan-18,-15.8,-13.5,-14.9,3.2
23-Jan-18,-15.1,-11.5,-13.3,0
24-Jan-18,-15.3,-8.1,-10.8,0
25-Jan-18,-20.7,-15.3,-19.4,0.8
26-Jan-18,-23.7,-19.2,-20.5,0.6
27-Jan-18,-26.4,-21.9,-24.3,0.4
28-Jan-18,-29.6,-21.3,-24.2,0.2
29-Jan-18,-28.7,-18.1,-20.8,6
30-Jan-18,-22.8,-19.2,-21.3,0.2
31-Jan-18,-25.4,-22,-23.8,0.6
01-Feb-18,-34.2,-24.2,-27.2,1
02-Feb-18,-39.4,-24.2,-32.2,0.2
03-Feb-18,-36.9,-19.4,-27.9,0
04-Feb-18,-28.5,-12.9,-18.4,0
05-Feb-18,-29,-14.4,-20,0
06-Feb-18,-30.4,-14.5,-21.2,0
07-Feb-18,-31.5,-14.4,-21.5,0
08-Feb-18,-24.2,-13.4,-17.6,0
09-Feb-18,-28,-10.1,-18.3,0
10-Feb-18,-22,-7.6,-12.8,0
11-Feb-18,-32.2,-17.6,-24.4,0
12-Feb-18,-29.8,-5.7,-20.8,0
13-Feb-18,-18.3,2.8,-3.6,0
14-Feb-18,-29.2,-17.3,-22.2,0
15-Feb-18,-32.6,-12.4,-22.1,0
16-Feb-18,-22.5,-8.5,-14.1,0
17-Feb-18,-12.7,-10.4,-11.5,0
18-Feb-18,-20.2,-9.5,-13.7,0
19-Feb-18,-20.7,-8,-12.1,0
20-Feb-18,-31.1,-20.1,-24.4,0.2
21-Feb-18,-29.4,-3.5,-17.7,0
22-Feb-18,-12.1,-1.6,-6,0.2
23-Feb-18,-10.8,-3.6,-7.9,1.1
24-Feb-18,-16.9,-6.4,-10,0.4
25-Feb-18,-21.7,-4.5,-12.5,0.2
26-Feb-18,-15.9,-1.1,-8.9,0
27-Feb-18,-15.6,-0.8,-8.2,0
28-Feb-18,-23.7,-2.2,-12.2,0
